Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.93538584737053E-13,-5.98899402293185E-13,0.0190667235053038,0,0,0,0.403888824455416,0.000515531251566891,9.6098327919246E-16,-4.41331918836239E-16,0.000624912277120464,-1.24621062471442E-16,0.00081181129357009,0,0,0,0,0,0,package://00-a1-all/meshes/base_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/base_link.STL,,001_ASM-1/00-2;001_ASM-1/00-1;001_ASM-1/升降平台安装板.stp-1,baseA,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_R0,3.43869994699278E-05,-0.0297323802241691,5.27257238474542E-05,0,0,0,0.735666269391473,0.000492293023424678,1.00044332849192E-06,-1.17368171019228E-08,0.000497885588609587,-1.044305354111E-06,0.000501814865900802,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R0.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R0.STL,,A1-ARM-R_ASM-1/A1-CDZRL-0001-1;A1-ARM-R_ASM-1/00001-1,R0,AR0,joint_R0,fixed,0,-0.00750000000000001,0.0610000000000099,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_R1,-0.00166233058676721,-0.0489172308170415,7.7227476250637E-05,0,0,0,0.508012475889899,0.00020537013183896,-1.09823538078503E-05,2.81609800071891E-07,0.000244971212494759,1.8960237008946E-08,0.000253369492272876,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R1.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R1.STL,,A1-ARM-R_ASM-1/0003-1;A1-ARM-R_ASM-1/00001-2;A1-ARM-R_ASM-1/连杆1.stp-1,R1,AR1,joint_R1,revolute,0,-0.0602500000000141,0,0,0,0,Link_R0,0,1,0,0,0,-3.14,1.05,,,,,,,,
Link_R2,0.00467739722163118,-2.1058571025856E-08,-0.0743865321714001,0,0,0,0.545982228956862,0.000315804310434462,-1.47432321570716E-09,-3.30818905358488E-05,0.000398937093075603,8.10780032730033E-10,0.000307419653621319,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R2.STL,,A1-ARM-R_ASM-1/A1-SCZJJ-0001-1;A1-ARM-R_ASM-1/A1-LG2-200-1;A1-ARM-R_ASM-1/00001-4,R2,AR2,joint_R2,revolute,0,-0.0581443562461359,0,0,0,0,Link_R1,1,0,0,0,0,-3.14,0.26,,,,,,,,
Link_R3,-3.56210226887949E-08,0.000181272752941442,-0.0958043578113763,0,0,0,0.520786153393256,0.00042430793474377,1.31116347649846E-10,-3.08409312999179E-10,0.000348257624772172,1.52797848158941E-05,0.000270089005292401,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R3.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R3.STL,,A1-ARM-R_ASM-1/A1-LGXWK-0001-1;A1-ARM-R_ASM-1/A1-LG3-300-1;A1-ARM-R_ASM-1/00001-3,R3,AR3,joint_R3,revolute,9.99999998248218E-05,0,-0.121499999999882,0,0,0,Link_R2,0,0,1,0,0,-2.75,2.75,,,,,,,,
Link_R4,1.2738720439609E-08,-0.00250005777940948,-0.140553454640624,0,0,0,0.855158153281477,0.000547450950135436,1.02104943997244E-09,-5.0674055286331E-10,0.000490285049672028,2.77853894461095E-05,0.000386024265708521,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R4.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R4.STL,,A1-ARM-R_ASM-1/A1-SCZJJ-0001-2;A1-ARM-R_ASM-1/A1-LG4-400-1;A1-ARM-R_ASM-1/43100001-1;A1-ARM-R_ASM-1/A1-LGXWK-0001-2;A1-ARM-R_ASM-1/A1-LG5-500-1;A1-ARM-R_ASM-1/43100001-2,R4,AR4,joint_R4,revolute,0,9.99999999841822E-05,-0.112000000000001,0,0,0,Link_R3,0,-1,0,0,0,-1.92,0,,,,,,,,
Link_R5,0.0527103953789022,0.00503260749704776,-0.00656774033316315,0,0,0,0.503384572150659,0.000257129098329967,9.31360908798959E-06,-2.60351442730593E-05,0.000263261775667777,-1.90330370771023E-05,0.000239636143293325,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R5.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R5.STL,,PRT0061-1;A1-ARM-R_ASM-1/43100001-3;A1-ARM-R_ASM-1/0006-1;A1-ARM-R_ASM-1/A1-SCZJJ-0001-3,R5,AR5,joint_R5,revolute,0,-9.99999999841267E-05,-0.220999999999669,0,0,0,Link_R4,0,1,0,0,0,0,0.79,,,,,,,,
Link_R6,0.053692151396807,1.22349848719339E-05,-0.00642733125671335,0,0,0,0.371061107645131,0.000197623753801863,2.22260873024643E-10,-1.44383267920356E-07,0.000992598433743486,1.84772899903574E-07,0.00118668917837192,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R6.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_R6.STL,,00_ASM-1/00_2-1;00_ASM-1/PRT0064-1;00_ASM-1/PRT0064-2;00_ASM-1/PRT0063-1;00_ASM-1/PRT0063-2;00_ASM-1/ZHOU-1;00_ASM-1/ISO4762-M4X10-DIP-1;ISO4762-M4X10-DIP-4;ISO4762-M4X10-DIP-2;00.stp-1,R6,AR6,joint_R6,revolute,0,0,-0.0551147629708083,0,0,0,Link_R5,1,0,0,0,0,-0.35,0.35,,,,,,,,
Link_L0,3.43869994699451E-05,0.0297323802241691,-5.27257238474507E-05,0,0,0,0.735666269391472,0.000492293023424676,-1.00044332849145E-06,1.17368171016784E-08,0.000497885588609586,-1.04430535411101E-06,0.000501814865900801,0,0,0,0,0,0,package://00-a1-all/meshes/Link_L0.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_L0.STL,,A1-ARM-L_ASM-1/_0001-1;A1-ARM-L_ASM-1/00001-1,L0,AL0,joint_L0,fixed,0,0.0074999999999999,0.0610000000000077,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_L1,0.000388125201244035,0.0489172308176017,7.72265094465246E-05,0,0,0,0.50801247588317,0.000205370165330616,-1.09604603162899E-05,2.81591912752072E-07,0.000244971212494343,-1.89592192040101E-08,0.000253369458780782,0,0,0,0,0,0,package://00-a1-all/meshes/Link_L1.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://00-a1-all/meshes/Link_L1.STL,,A1-ARM-L_ASM-1/0003-1;A1-ARM-L_ASM-1/0007-1;A1-ARM-L_ASM-1/连杆1.stp-1,L1,AL1,joint_L1,revolute,0,0.0602500000000141,0,0,0,0,Link_L0,0,1,0,0,0,-3.14,1.04,,,,,,,,
